rank,player,country,confederation,position,attempts_at_goal
1,Kylian Mbappe,France,UEFA,Forward,41
2,Lamine Yamal,Spain,UEFA,Forward,27
3,Mikel Oyarzabal,Spain,UEFA,Forward,23
4,Harry Kane,England,UEFA,Forward,23
5,Ousmane Dembele,France,UEFA,Forward,20
6,Michael Olise,France,UEFA,Forward,20
7,Kevin De Bruyne,Belgium,UEFA,Midfielder,20
8,Jude Bellingham,England,UEFA,Midfielder,19
9,Erling Haaland,Norway,UEFA,Forward,19
10,Cristiano Ronaldo,Portugal,UEFA,Forward,18
11,Ismaila Sarr,Senegal,CAF,Forward,17
12,Leandro Trossard,Belgium,UEFA,Forward,17
13,Dan Ndoye,Switzerland,UEFA,Forward,16
14,Ferran Torres,Spain,UEFA,Forward,14
15,Achraf Hakimi,Morocco,CAF,Defender,14
16,Kenan Yildiz,Türkiye,UEFA,Forward,14
17,Desire Doue,France,UEFA,Forward,13
18,Bukayo Saka,England,UEFA,Forward,13
19,Dani Olmo,Spain,UEFA,Forward,13
20,Kai Havertz,Germany,UEFA,Forward,12
21,Viktor Gyokeres,Sweden,UEFA,Forward,12
22,Marcus Rashford,England,UEFA,Forward,12
23,Alex Baena,Spain,UEFA,Midfielder,12
24,Arda Guler,Türkiye,UEFA,Forward,12
25,Ibrahim Maza,Algeria,CAF,Midfielder,11
26,Yoane Wissa,DR Congo,CAF,Forward,11
27,Youri Tielemans,Belgium,UEFA,Midfielder,11
28,Hakan Calhanoglu,Türkiye,UEFA,Midfielder,11
29,Omar Marmoush,Egypt,CAF,Forward,11
30,Maxim De Cuyper,Belgium,UEFA,Defender,10
31,Cody Gakpo,Netherlands,UEFA,Forward,10
32,Bradley Barcola,France,UEFA,Forward,10
33,Breel Embolo,Switzerland,UEFA,Forward,10
34,Ismael Saibari,Morocco,CAF,Midfielder,10
35,Emam Ashour,Egypt,CAF,Midfielder,10
36,Florian Wirtz,Germany,UEFA,Midfielder,10
37,Mohamed Salah,Egypt,CAF,Forward,9
38,Fares Chaibi,Algeria,CAF,Midfielder,9
39,Bruno Fernandes,Portugal,UEFA,Midfielder,9
40,Martin Odegaard,Norway,UEFA,Midfielder,9
41,Granit Xhaka,Switzerland,UEFA,Midfielder,9
42,Adrien Rabiot,France,UEFA,Midfielder,9
43,Alexander Isak,Sweden,UEFA,Forward,8
44,Amad Diallo,Ivory Coast,CAF,Forward,8
45,Scott Mctominay,Scotland,UEFA,Midfielder,8
46,Pape Gueye,Senegal,CAF,Midfielder,8
47,Trezeguet,Egypt,CAF,Forward,8
48,Mostafa Zico,Egypt,CAF,Midfielder,8
49,Felix Nmecha,Germany,UEFA,Midfielder,8
50,Fabian Ruiz,Spain,UEFA,Midfielder,8
51,Thapelo Maseko,South Africa,CAF,Forward,8
52,Michal Sadilek,Czechia,UEFA,Midfielder,7
