Player-ID,Player,Team,Position,Minutes Played,Passes,Completed passes,Accuracy,Completed passes / 90
73,Ivan Basic,BIH,MF,200,104,96,92%,43.2
13,Ibrahim Maza,Algeria ,MF,389,141,111,79%,25.68
380,Gustavo Caballero,Paraguay,MF,117,8,5,63%,3.85
179,Moises Caicedo ,Ecuador,MF,407,295,264,89%,58.38
328,Elijah Just,New Zealand,MF,291,99,85,86%,26.29
516,Azizjon Ganiev ,Uzbekistan,MF,140,59,48,81%,30.86
414,Ryan Christie,Scotland,MF,114,35,29,83%,22.89
217,Leroy Sane,Germany,MF,360,189,161,85%,40.25
21,Nico Gonzalez,Argentine ,MF,324,109,90,83%,25.0
492,Federico Valverde,Uruguay,MF,272,120,98,82%,32.43
489,Nicolas De La Cruz,Uruguay,MF,115,55,45,82%,35.22
493,Rodrigo Bentancur,Uruguay,MF,313,174,157,90%,45.14
498,Sebastian Berhalter,USA,MF,231,136,114,84%,44.42
372,Jose Luis Rodriguez,Panama ,MF,251,48,35,73%,12.55
135,Seko Fofana ,Cote d'Ivorie,MF,103,45,38,84%,33.2
332,Ben Old,New Zealand,MF,112,33,25,76%,20.09
408,Nasser Aldawasari,Saudi Arabia ,MF,230,107,92,86%,36.0
38,Aiden Oneill ,Australia ,MF,406,172,142,83%,31.48
382,Damian Bodadilla ,Paraguay,MF,216,32,24,75%,10.0
54,Youri Tielemans,Belgium,MF,538,255,221,87%,36.97
256,Zaid Ismael,Iraq,MF,126,71,63,89%,45.0
45,Konard Laimer,Austria ,MF,412,150,130,87%,28.4
235,Antoine Semenyo,Ghana ,MF,414,68,52,76%,11.3
140,Christ Inao Oulai,Cote d'Ivorie,MF,240,125,115,92%,43.13
469,Rani Khedira,Tunisia,MF,162,30,25,83%,13.89
471,Anis Slimane,Tunisia,MF,257,75,59,79%,20.66
424,Habib Diarra,Senegal,MF,168,54,52,96%,27.86
23,Rodrigo De Paul ,Argentine ,MF,539,327,300,92%,50.09
