Team,Opponent,Date,Result,Possession%
Mexico,South Africa,2026-06-12,win,57
South Africa,Mexico,2026-06-12,lose,36
Korea Republic,Czechia,2026-06-12,win,55
Czechia,Korea Republic,2026-06-12,lose,34
Czechia,South Africa,2026-06-19,draw,32
South Africa,Czechia,2026-06-19,draw,60
Mexico,Korea Republic,2026-06-19,win,40
Korea Republic,Mexico,2026-06-19,lose,51
Czechia,Mexico,2026-06-25,lose,44
Mexico,Czechia,2026-06-25,win,46
South Africa,Korea Republic,2026-06-25,win,30
Korea Republic,South Africa,2026-06-25,lose,60
Canada,Bosnia and Herzegovina,2026-06-13,draw,52
Bosnia and Herzegovina,Canada,2026-06-13,draw,29
Qatar,Switzerland,2026-06-14,draw,28
Switzerland,Qatar,2026-06-14,draw,58
Switzerland,Bosnia and Herzegovina,2026-06-19,win,57
Bosnia and Herzegovina,Switzerland,2026-06-19,lose,34
Canada,Qatar,2026-06-19,win,65
Qatar,Canada,2026-06-19,lose,20
Switzerland,Canada,2026-06-25,win,48
Canada,Switzerland,2026-06-25,lose,40
Bosnia and Herzegovina,Qatar,2026-06-25,win,48
Qatar,Bosnia and Herzegovina,2026-06-25,lose,42
Brazil,Morocco,2026-06-14,draw,46
Morocco,Brazil,2026-06-14,draw,45
Haiti,Scotland,2026-06-14,lose,51
Scotland,Haiti,2026-06-14,win,40
Scotland,Morocco,2026-06-20,lose,39
Morocco,Scotland,2026-06-20,win,54
Brazil,Haiti,2026-06-20,win,49
Haiti,Brazil,2026-06-20,lose,43
Scotland,Brazil,2026-06-25,lose,42
Brazil,Scotland,2026-06-25,win,51
Morocco,Haiti,2026-06-25,win,60
Haiti,Morocco,2026-06-25,lose,31
USA,Paraguay,2026-06-13,win,59
Paraguay,USA,2026-06-13,lose,28
Australia,Turkiye,2026-06-14,win,27
Turkiye,Australia,2026-06-14,lose,62
USA,Australia,2026-06-20,win,55
Australia,USA,2026-06-20,lose,30
Turkiye,Paraguay,2026-06-20,lose,67
Paraguay,Turkiye,2026-06-20,win,19
