rank,player,country,confederation,position,attempts_at_goal
11,Ismaila Sarr,Senegal,CAF,Forward,17
29,Omar Marmoush,Egypt,CAF,Forward,11
34,Ismael Saibari,Morocco,CAF,Midfielder,10
37,Mohamed Salah,Egypt,CAF,Forward,9
44,Amad Diallo,Ivory Coast,CAF,Forward,8
46,Pape Gueye,Senegal,CAF,Midfielder,8
48,Mostafa Zico,Egypt,CAF,Midfielder,8
51,Thapelo Maseko,South Africa,CAF,Forward,8
65,Bilal El Khannouss,Morocco,CAF,Midfielder,6
67,Riyad Mahrez,Algeria,CAF,Forward,6
69,Sadio Mane,Senegal,CAF,Forward,6
81,Brian Cipenga,DR Congo,CAF,Forward,6
98,Seko Fofana,Ivory Coast,CAF,Midfielder,5
101,Fiston Mayele,DR Congo,CAF,Forward,5
104,Evidence Makgopa,South Africa,CAF,Forward,4
114,Diney Borges,Cape Verde,CAF,Defender,4
116,Teboho Mokoena,South Africa,CAF,Midfielder,4
117,Franck Kessie,Ivory Coast,CAF,Midfielder,4
124,Marawan Attia,Egypt,CAF,Midfielder,4
128,Ibrahim Mbaye,Senegal,CAF,Forward,4
131,Laros Duarte,Cape Verde,CAF,Midfielder,3
143,Nathanael Mbuku,DR Congo,CAF,Midfielder,3
145,Elye Wahi,Ivory Coast,CAF,Forward,3
146,Ayoub El Kaabi,Morocco,CAF,Forward,3
148,Hazem Mastouri,Tunisia,CAF,Forward,3
168,Mahmoud Saber,Egypt,CAF,Midfielder,3
169,Hannibal Mejbri,Tunisia,CAF,Midfielder,3
172,Zizo,Egypt,CAF,Forward,3
173,Habib Diarra,Senegal,CAF,Midfielder,3
182,Nadhir Benbouali,Algeria,CAF,Forward,2
204,Pathe Ciss,Senegal,CAF,Midfielder,2
205,Jonas Adjetey,Ghana,CAF,Defender,2
206,Caleb Yirenkyi,Ghana,CAF,Midfielder,2
207,Edo Kayembe,DR Congo,CAF,Midfielder,2
224,Anis Slimane,Tunisia,CAF,Midfielder,1
227,Ahmed Fatouh,Egypt,CAF,Defender,1
229,Yasser Ibrahim,Egypt,CAF,Defender,1
232,Ange Yoan Bonny,Ivory Coast,CAF,Forward,1
10,Cristiano Ronaldo,Portugal,UEFA,Forward,18
14,Ferran Torres,Spain,UEFA,Forward,14
18,Bukayo Saka,England,UEFA,Forward,13
21,Viktor Gyokeres,Sweden,UEFA,Forward,12
22,Marcus Rashford,England,UEFA,Forward,12
30,Maxim De Cuyper,Belgium,UEFA,Defender,10
39,Bruno Fernandes,Portugal,UEFA,Midfielder,9
40,Martin Odegaard,Norway,UEFA,Midfielder,9
41,Granit Xhaka,Switzerland,UEFA,Midfielder,9
62,Ruben Vargas,Switzerland,UEFA,Forward,6
73,Manu Kone,France,UEFA,Midfielder,6
77,Noni Madueke,England,UEFA,Forward,6
78,Jamal Musiala,Germany,UEFA,Midfielder,6
91,Hans Vanaken,Belgium,UEFA,Midfielder,5
93,Alexander Sorloth,Norway,UEFA,Forward,5
94,Brandon Mechele,Belgium,UEFA,Defender,5
108,Tijjani Reijnders,Netherlands,UEFA,Midfielder,4
110,Igor Matanovic,Croatia,UEFA,Forward,4
118,Kerim Alajbegovic,Bosnia and Herzegovina,UEFA,Forward,4
132,Nathaniel Brown,Germany,UEFA,Defender,3
135,Petar Sucic,Croatia,UEFA,Midfielder,3
136,Andreas Schjelderup,Norway,UEFA,Midfielder,3
138,Lukas Cerv,Czechia,UEFA,Midfielder,3
139,Mattias Svanberg,Sweden,UEFA,Midfielder,3
140,Esmir Bajraktarevic,Bosnia and Herzegovina,UEFA,Forward,3
150,Sasa Kalajdzic,Austria,UEFA,Forward,3
153,John Mcginn,Scotland,UEFA,Midfielder,3
163,Nuno Mendes,Portugal,UEFA,Defender,3
178,Virgil Van Dijk,Netherlands,UEFA,Defender,2
184,Kristoffer Ajer,Norway,UEFA,Defender,2
186,Thomas Meunier,Belgium,UEFA,Defender,2
188,Romano Schmid,Austria,UEFA,Midfielder,2
189,Jorgen Strand Larsen,Norway,UEFA,Forward,2
193,Nicolas Raskin,Belgium,UEFA,Midfielder,2
199,Lewis Ferguson,Scotland,UEFA,Midfielder,2
200,Remo Freuler,Switzerland,UEFA,Midfielder,2
215,David Raum,Germany,UEFA,Defender,1
220,Che Adams,Scotland,UEFA,Forward,1
