rank,team,clean_sheets,goals_conceded,goalkeeper_saves,gk_actions_inside_pa,gk_actions_outside_pa,save_pct,advanced
1,Spain,7,1,14,120,93,93.33333333333333,True
2,France,4,10,15,108,86,60.0,True
2,Colombia,4,1,7,57,54,87.5,True
2,Mexico,4,3,8,60,49,72.72727272727273,True
5,Argentina,2,8,20,111,97,71.42857142857143,True
5,Morocco,2,6,19,112,91,76.0,True
5,England,2,12,25,159,132,67.56756756756756,True
5,Brazil,2,4,15,67,59,78.94736842105263,True
5,Cote d'Ivoire,2,4,11,84,68,73.33333333333333,True
5,Paraguay,2,6,28,141,124,82.35294117647058,True
5,Switzerland,2,6,20,100,88,76.92307692307693,True
5,USA,2,8,10,79,65,55.55555555555556,True
5,Canada,2,6,7,49,40,53.84615384615385,True
5,Cabo Verde,2,5,18,136,102,78.26086956521739,True
5,Ghana,2,3,16,86,77,84.21052631578947,True
5,Australia,2,3,14,91,76,82.35294117647058,True
5,Portugal,2,3,20,114,93,86.95652173913044,True
18,Ecuador,1,4,12,68,63,75.0,True
18,Curacao,1,9,21,81,72,70.0,False
18,Scotland,1,4,9,75,64,69.23076923076923,False
18,Japan,1,5,17,78,64,77.27272727272727,True
18,Belgium,1,7,19,117,95,73.07692307692307,True
18,Croatia,1,7,12,80,68,63.1578947368421,True
18,South Africa,1,4,14,72,59,77.77777777777779,True
18,Senegal,1,9,13,87,70,59.09090909090909,True
18,Saudi Arabia,1,5,17,86,78,77.27272727272727,False
18,IR Iran,1,3,15,75,65,83.33333333333334,False
28,Haiti,0,8,13,56,48,61.904761904761905,False
28,Turkiye,0,5,8,55,46,61.53846153846154,False
28,Uzbekistan,0,11,6,82,65,35.294117647058826,False
28,Panama,0,4,9,48,42,69.23076923076923,False
28,Korea Republic,0,3,11,42,34,78.57142857142857,False
28,Germany,0,5,7,61,45,58.333333333333336,True
28,Netherlands,0,5,17,57,54,77.27272727272727,True
28,Austria,0,9,15,85,74,62.5,True
28,Iraq,0,12,10,94,81,45.45454545454545,False
28,Algeria,0,9,9,48,45,50.0,True
28,New Zealand,0,10,11,97,88,52.38095238095239,False
28,Uruguay,0,4,4,48,39,50.0,False
28,Czechia,0,6,11,60,52,64.70588235294117,False
28,Norway,0,11,22,132,115,66.66666666666666,True
28,Qatar,0,10,16,124,103,61.53846153846154,False
28,Egypt,0,7,14,119,105,66.66666666666666,True
28,Tunisia,0,12,7,77,64,36.84210526315789,False
28,Congo DR,0,5,15,83,70,75.0,True
28,Bosnia and Herzegovina,0,8,8,92,70,50.0,True
28,Jordan,0,8,8,70,56,50.0,False
28,Sweden,0,10,16,76,66,61.53846153846154,True
