team,rank,clean_sheets,goals_conceded,goalkeeper_saves,gk_actions_inside_pa,gk_actions_outside_pa
Spain,1,7,1,14,120,93
France,2,4,10,15,108,86
Colombia,2,4,1,7,57,54
Mexico,2,4,3,8,60,49
Argentina,5,2,8,20,111,97
Morocco,5,2,6,19,112,91
England,5,2,12,25,159,132
Brazil,5,2,4,15,67,59
Cote d'Ivoire,5,2,4,11,84,68
Paraguay,5,2,6,28,141,124
Switzerland,5,2,6,20,100,88
USA,5,2,8,10,79,65
Canada,5,2,6,7,49,40
Cabo Verde,5,2,5,18,136,102
Ghana,5,2,3,16,86,77
Australia,5,2,3,14,91,76
Portugal,5,2,3,20,114,93
Ecuador,18,1,4,12,68,63
Curacao,18,1,9,21,81,72
Scotland,18,1,4,9,75,64
Japan,18,1,5,17,78,64
Belgium,18,1,7,19,117,95
Croatia,18,1,7,12,80,68
South Africa,18,1,4,14,72,59
Senegal,18,1,9,13,87,70
Saudi Arabia,18,1,5,17,86,78
IR Iran,18,1,3,15,75,65
Haiti,28,0,8,13,56,48
Turkiye,28,0,5,8,55,46
Uzbekistan,28,0,11,6,82,65
Panama,28,0,4,9,48,42
Korea Republic,28,0,3,11,42,34
Germany,28,0,5,7,61,45
Netherlands,28,0,5,17,57,54
Austria,28,0,9,15,85,74
Iraq,28,0,12,10,94,81
Algeria,28,0,9,9,48,45
New Zealand,28,0,10,11,97,88
Uruguay,28,0,4,4,48,39
Czechia,28,0,6,11,60,52
Norway,28,0,11,22,132,115
Qatar,28,0,10,16,124,103
Egypt,28,0,7,14,119,105
Tunisia,28,0,12,7,77,64
Congo DR,28,0,5,15,83,70
Bosnia and Herzegovina,28,0,8,8,92,70
Jordan,28,0,8,8,70,56
Sweden,28,0,10,16,76,66
